Song Title,Artist,Album,Release Year,Genre,Lyrics
I Want It That Way,Backstreet Boys,Millennium,1999,Pop,"You are my fire

The one desire

Believe when I say

I want it that way



But we are two worlds apart

Can't reach to your heart

When you say

That I want it that way



Tell me why

Ain't nothing but a heartache

Tell me why

Ain't nothing but a mistake

Tell me why

I never wanna hear you say

I want it that way



Am I your fire

Your one desire

Yes I know it's too late

But I want it that way



Tell me why

Ain't nothing but a heartache

Tell me why

Ain't nothing but a mistake

Tell me why

I never wanna hear you say

I want it that way



Now I can see that we've fallen apart

From the way that it used to be, yeah

No matter the distance

I want you to know

That deep down inside of me



Your are my fire

The one desire

You are, you are, you are, you are

Don't wanna hear you say ...



Ain't nothing but a heartache

Ain't nothing but a mistake

I never wanna hear you say

I want it that way



Tell me why

Ain't nothing but a heartache

Tell me why

Ain't nothing but a mistake

Tell me why

I never wanna hear you say

I want it that way



Tell me why...

Ain't nothing but a heartache

Ain't nothing but a mistake

Tell me why

I never wanna hear you say

I want it that way

Cos' I want it that way"
Smooth,Santana featuring Rob Thomas,Supernatural,1999,Rock,"Man, it's a hot one
Like seven inches from the midday sun
Well, I hear you whisper and the words melt everyone
But you stay so cool
My muñequita, my Spanish Harlem Mona Lisa
You're my reason for reason
The step in my grooveAnd if you said this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Because you're so smooth
And it's just like the ocean under the moon
Oh, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real, or else forget about itBut I'll tell you one thing
If you would leave it'd be a crying shame
In every breath and every word
I hear your name calling me out
Out from the barrio
You hear my rhythm on your radio
You feel the turning of the world, so soft and slow
It's turning you round and roundAnd if you said this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Because you're so smooth
Well, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real, or else forget about itWell, and it's just like the ocean under the moon
Oh, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real, or else forget about itOr else forget about it
Or else forget about it
Oh, let's don't forget about it
Give me your heart, make it real
Let's don't forget about it (hey)
Let's don't forget about it (now, oh, now, oh)
Let's don't forget about it (now, now, now, oh)
Let's don't forget about it (hey, now, now, oh)
Let's don't forget about it (hey, hey, hey)"
Lose Yourself,Eminem,8 Mile: Music from and Inspired by the Motion Picture,2002,Hip Hop,"Look... If you had... one shot... or one opportunity...
To seize everything you ever wanted... one moment...
Would you capture it? Or just let it slip? 
Yo

[Verse 1]
His palms are sweaty, knees weak, arms are heavy
There's vomit on his sweater already, mom's spaghetti
He's nervous, but on the surface he looks calm and ready
to drops bombs, but he keeps on forgetting
what he wrote down, the whole crowd goes so loud
He opens his mouth but the words won't come out
He's chokin, how? Everybody's jokin now
The clock's run out, time's up, over - BLAOW!
Snap back to reality, OHH! there goes gravity
OHH! there goes Rabbit, he choked
He's so mad, but he won't
Give up that easy nope, he won't have it
He knows, his whole back's to these ropes
It don't matter, he's dope
He knows that, but he's broke
He's so sad that he knows 
when he goes back to this mobile home, that's when it's
back to the lab again, yo, this whole rap shift
He better go capture this moment and hope it don't pass him

[Chorus]
You better - lose yourself in the music, the moment
You own it, you better never let it go (go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime
You better - lose yourself in the music, the moment
You own it, you better never let it go (go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime
You better..

[Verse 2]
Soul's escaping, through this hole that is gaping
This world is mine for the taking
Make me king, as we move toward a, new world order
A normal life is boring; but superstardom's
close to post-mortem, it only grows harder
Homie grows hotter, he blows it's all over
These hoes is all on him, coast to coast shows
He's known as the Globetrotter
Lonely roads, God only knows
He's grown farther from home, he's no father
He goes home and barely knows his own daughter
But hold your nose cause here goes the cold water
These hoes don't want him no mo', he's cold product
They moved on to the next schmoe who flows
He nose-dove and sold nada, and so the soap opera
is told, it unfolds, I suppose it's old partner
But the beat goes on da-da-dum da-dum da-dah

[Chorus]

[Verse 3]
No more games, Imma change what you call rage
Tear this motherfuckin roof off like two dogs caged
I was playin in the beginning, the mood all changed
I've been chewed up and spit out and booed off stage
But I kept rhymin and stepped right in the next cypher
Best believe somebody's payin the pied piper
All the pain inside amplified by the
fact that I can't get by with my nine to
five and I can't provide the right type of
life for my family, cause man, these God damn
food stamps don't buy diapers, and there's no movie
There's no Mekhi Phifer, this is my life
And these times are so hard, and it's gettin even harder
Tryin to feed and water my seed plus, teeter-totter
Caught up between bein a father and a pre-madonna
Baby momma drama screamin on her too much for me to wanna
stay in one spot, another day of monotony
has gotten me to the point, I'm like a snail I've got
to formulate a plot, or end up in jail or shot
Success is my only motherfuckin option, failure's not
Mom I love you but this trailer's got to go
I cannot grow old in Salem's Lot
So here I go it's my shot, feet fail me not
This may be the only opportunity that I got

[Chorus]

[Outro]
You can do anything you set your mind to, man."
Crazy,Gnarls Barkley,St. Elsewhere,2006,Soul Funk,"I remember when
I remember, I remember when I lost my mind
There was something so pleasant about that place
Even your emotions have an echo in so much spaceAnd when you're out there without care
Yeah, I was out of touch
But it wasn't because I didn't know enough
I just knew too muchDoes that make me crazy?
Does that make me crazy?
Does that make me crazy?
PossiblyAnd I hope that you are having the time of your life
But think twice, that's my only advice
Come on now, who do you, who do you, who do you
Who do you think you are
Ha ha ha, bless your soul
You really think you're in controlI think you're crazy
I think you're crazy
I think you're crazy
Just like meMy heroes had the heart to lose their lives out on the limb
And all I remember is thinking I want to be like themEver since I was little
Ever since I was little it looked like fun
And it's no coincidence I've come
And I can die when I'm doneBut maybe I'm crazy
Maybe you're crazy
Maybe we're crazy
Probably"
Umbrella,Rihanna featuring Jay-Z,Good Girl Gone Bad,2007,R&B,"Uh huh, uh huh (yeah, Rihanna)
Uh huh, uh huh (Good Girl Gone Bad)
Uh huh, uh huh (take three, action)
Uh huh, uh huh (Hov)No clouds in my stones
Let it rain, I hydroplane in the bank
Comin' down like Dow Jones
When the clouds come, we gone
We Roc-A-Fella
We fly higher than weather
In G5's or better
You know me (you know me)
In anticipation for precipitation stack chips for the rainy day
Jay, Rain Man is back
With Little Ms. Sunshine, Rihanna, where you at?You have my heart
And we'll never be worlds apart
Maybe in magazines
But you'll still be my star
Baby, 'cause in the dark
You can't see shiny cars
And that's when you need me there
With you I'll always share
BecauseWhen the sun shines, we'll shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh-ehThese fancy things will never come in between
You're part of my entity, here for infinity
When the war has took its part
When the world has dealt its cards
If the hand is hard
Together we'll mend your heart
BecauseWhen the sun shines, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh-ehYou can run into my arms
It's okay, don't be alarmed
Come into me (there's no distance in between our love)
So gon' and let the rain pour
I'll be all you need and more
BecauseWhen the sun shines, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh-ehIt's raining, raining
Ooh, baby, it's raining, raining
Baby, come into me
Come into me
It's raining, raining
Ooh, baby, it's raining, raining
You can always come into me
Come into me
It's pouring rain
It's pouring rain
Come into me
Come into me
It's pouring rain
It's pouring rain, come into me"
Rehab,Amy Winehouse,Back to Black,2006,R&B Soul,"They tried to make me go to Rehab
But I said no, no, no
Yes I've been black, but when I come back
You'll know, know, know
I ain't got the time
And if my daddy thinks I'm fine
They tried to make me go to Rehab
But I won't go, go, goI'd rather be at home with Ray
I ain't got seventy days
'Cause there's nothing
There's nothing you can teach me
That I can't learn from Mr. HathawayI didn't get a lot in class
But I know it don't come in a shot glassThey tried to make me go to Rehab
But I said no, no, no
Yes I've been black, but when I come back
You'll know, know, know
I ain't got the time
And if my daddy thinks I'm fine
They tried to make me go to Rehab
But I won't go, go, goThe man said, ""Why you think you here?""
I said, ""I got no idea""
""I'm gonna, I'm gonna lose my baby""
""So I always keep a bottle near""He said, ""I just think you're depressed""
""This me, yeah baby, and the rest""They tried to make me go to Rehab
But I said no, no, no
Yes I've been black, but when I come back
You'll know, know, knowI don't ever want to drink again
I just, ooh, I just need a friend
I'm not gonna spend ten weeks
And have everyone think I'm on the mendAnd it's not just my pride
It's just 'til these tears have driedThey tried to make me go to Rehab
But I said no, no, no
Yes I've been black, but when I come back
You'll know, know, know
I ain't got the time
And if my daddy thinks I'm fine
They try to make me go to Rehab
But I won't go, go, go!"
Somebody That I Used to Know,Gotye featuring Kimbra,Making Mirrors,2011,Indie pop,"Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me
But felt so lonely in your company
But that was love, and it's an ache I still rememberYou can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well, you said that we would still be friends
But I'll admit that I was glad it was overBut you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger, and that feels so rough
No, you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that, though
Now you're just somebody that I used to knowNow you're just somebody that I used to knowNow you're just somebody that I used to knowNow and then I think of all the times you screwed me over
But had me believing it was always something that I'd doneAnd I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up on somebody that you used to knowBut you didn't have to cut me off
Make out like it never happened and that we were nothing (aah-ooh)
And I don't even need your love (ooh)
But you treat me like a stranger, and that feels so rough (aah)
No, you didn't have to stoop so low (ooh)
Have your friends collect your records and then change your number (aah)
I guess that I don't need that, though
Now you're just somebody that I used to knowSomebody (I used to know)
Somebody (now you're just somebody that I used to know)
Somebody (I used to know)
Somebody (now you're just somebody that I used to know)
I used to know
That I used to know
I used to know
Somebody"
Royals,Lorde,Pure Heroine,2013,Indie pop,"I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In a torn up town, no postcode envyBut every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care
We're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care
We aren't caught up in your love affairAnd we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasyMy friends and I, we've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows
That we're fine with this, we didn't come from moneyBut every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care
We're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care
We aren't caught up in your love affairAnd we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasyOh
Oh (oh, oh)
We're bigger than we ever dreamed
And I'm in love with being queen
Oh
Oh (oh, oh)
Life is great without a care
We aren't caught up in your love affairAnd we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy"
Happy,Pharrell Williams,Despicable Me 2: Original Motion Picture Soundtrack,2013,Funk,"It might seem crazy what I'm 'bout to say
Sunshine, she's here, you can take a break
I'm a hot air balloon that could go to space
With the air like I don't care, baby, by the wayClap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna doHere come bad news talking this and that (yeah)
Well, give me all you got and don't hold it back (yeah)
Well, I should probably warn you I'll be just fine (yeah)
No offense to you, don't wanna waste your time
Here's whyClap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna doBring me down, can't nothing (happy)
Bring me down, my level's too high (happy)
Bring me down, can't nothing (happy)
Bring me down, I said (I tell you)
Bring me down, can't nothing (happy, happy, happy)
Bring me down, my level's too high (happy, happy, happy)
Bring me down, can't nothing (happy, happy)
Bring me down, I said (happy, happy)Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know that happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna doClap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know that happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna doBring me down, can't nothing (happy, happy, happy)
Bring me down, my level's too (happy, happy, happy)
Bring me down, can't nothing (happy, happy, happy)
Bring me down, I said (happy, happy, happy)Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna doClap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do"
Shake It Off,Taylor Swift,1989,2014,Pop,"I stay out too late
Got nothing in my brain
That's what people say, mm-mm
That's what people say, mm-mmI go on too many dates
But I can't make 'em stay
At least that's what people say, mm-mm
That's what people say, mm-mmBut I keep cruisin'
Can't stop, won't stop movin'
It's like I got this music in my mind
Sayin' it's gonna be alright'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (hoo-hoo-hoo)
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (hoo-hoo-hoo)I never miss a beat
I'm lightnin' on my feet
And that's what they don't see, mm-mm
That's what they don't see, mm-mmI'm dancin' on my own (dancin' on my own)
I make the moves up as I go (moves up as I go)
And that's what they don't know, mm-mm
That's what they don't know, mm-mmBut I keep cruisin'
Can't stop, won't stop groovin'
It's like I got this music in my mind
Sayin' it's gonna be alright'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (hoo-hoo-hoo)
Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (hoo-hoo-hoo)Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off (hoo-hoo-hoo)Hey, hey, hey
Just think, while you've been gettin' down and out about the liars
And the dirty, dirty cheats of the world
You could've been gettin' down to this sick beatMy ex-man brought his new girlfriend
She's like, ""Oh my God!"" but I'm just gonna shake
And to the fella over there with the hella good hair
Won't you come on over, baby? We can shake, shake, shake (yeah)
Yeah, oh, oh'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate (haters gonna hate)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (hoo-hoo-hoo)
Heartbreakers gonna break, break, break, break, break (mmm)
And the fakers gonna fake, fake, fake, fake, fake (and fake and fake and fake)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (hoo-hoo-hoo)Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off (yeah), I shake it off (hoo-hoo-hoo)Shake it off, I shake it off
I, I, I shake it off, I shake it off (you got to)
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off"
Uptown Funk,Mark Ronson featuring Bruno Mars,Uptown Special,2014,Funk,"Whoo
James
(Remix)I'm an A town playa turned uptown pimp
This shit is whipped
Eddie Murphy red leather, the pants on Hammer, I'm too legit
Oh, my hair so gorgeous, make them girls so sick
I wait in line, bitches, even Beyonce' want this shitI'm too hot (hot damn)
I like myself on Instagram
I'm too hot (hot damn)
I'm Jérôme Rome with a Gina and Pam
I'm too hot (hot damn)
Covered in gold, you know who I am
I'm too hot (hot damn)
Thank Def Jam for that money (Cash Money)Got a brand-new cape, hallelujah
Got a brand-new cane, hallelujah
Got a brand-new chain, hallelujah
You better know T James gon get to ya
You know Uptown Funk gon get to ya
You better know T James gon get to ya
'Cause it's Saturday night and we in the spot
Don't believe me, just watch, JamesDon't believe me, just watch
Don't believe me, just watchStop, wait a minute
Fill my cup, put some liquor in it
Take a sip, sign the check
Julio, get the stretch
Right to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar of SkippyI'm too hot (hot damn)
Call the police and the fireman
I'm too hot (hot damn)
Make a dragon ball, I'm a retired man
I'm too hot (hot damn)
Say my name, you know who I am
I'm too hot (hot damn)
And my band 'bout that money, break it downGirls, hit your hallelujah (whoo)
Girls, hit your hallelujah (whoo)
Girls, hit your hallelujah (whoo)
'Cause uptown funk don't give it to you
'Cause uptown funk don't give it to you
'Cause uptown funk don't give it to you
Saturday night, and we in the spotDon't believe me, just watchDon't believe me, just watchDon't believe me, just watch
Don't believe me, just watch
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, ohBefore we leave, lemme tell y'all a little something
Uptown funk you up
Uptown funk you up
Uptown funk you up
Uptown funk you upI said uptown funk you up
Uptown funk you up
Uptown funk you up
Uptown funk you upCome on dance, jump on me
If you're sexy, then flow me
If you're sexy, then flaunt me
Don't brag about it, come show me
Come on dance, jump on me
If you're sexy, then flaunt me
But it's Saturday night and we in the spotDon't believe me, just watch, c'monDon't believe me, just watchDon't believe me, just watch
Don't believe me, just watch
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, ohUptown funk you up (whoo, c'mon)
Uptown funk you up (say what?)
Uptown funk you up
Uptown funk you up (c'mon)
Uptown funk you up
Uptown funk you up
Uptown funk you up
Uptown funk you up (c'mon)Uptown funk you up (whoo, c'mon)
Uptown funk you up (say what?)
Uptown funk you up
Uptown funk you up (c'mon)
Uptown funk you up
Uptown funk you up (say what?)
Uptown funk you up"
Old Town Road,Lil Nas X featuring Billy Ray Cyrus,7,2019,Country rap,"Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no moreI got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Riding on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off the porch, nowCan't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothingRiding on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull riding and boobies
Cowboy hat from Gucci
Wrangler on my bootyCan't nobody tell me nothing
You can't tell me nothing
Can't nobody tell me nothingYou can't tell me nothingYeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no moreHat down, cross-town, livin' like a rockstar
Spent a lot of money on my brand-new guitar
Baby's got a habit: diamond rings and Fendi sports bras
Ridin' down Rodeo in my Maserati sports car
Got no stress, I've been through all that
I'm like a Marlboro Man so I kick on back
Wish I could roll on back to that old town road
I wanna ride 'til I can't no moreYeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more"
Watermelon Sugar,Harry Styles,Fine Line,2019,Pop,"Tastes like strawberries
On a summer evenin'
And it sounds just like a songI want more berries
And that summer feelin'
It's so wonderful and warmBreathe me in
Breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go withoutWatermelon sugar
High
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar high
Watermelon sugarStrawberries
On a summer evenin'
Baby, you're the end of JuneI want your belly
And that summer feelin'
Getting washed away in youBreathe me in
Breathe me out
I don't know if I could ever go withoutWatermelon sugar
High
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar highWatermelon sugar
High
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar highI just wanna taste it
I just wanna taste it
Watermelon sugar highTastes like strawberries
On a summer evenin'
And it sounds just like a songI want your belly
And that summer feelin'
I don't know if I could ever go withoutWatermelon sugar
High
Watermelon sugar
High
Watermelon sugar (sugar)
High
Watermelon sugar high (sugar)Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar highI just wanna taste it
I just wanna taste it
Watermelon sugar highI just wanna taste it
I just wanna taste it
Watermelon sugar high
Watermelon sugar"
No Scrubs,TLC,FanMail,1999,R&B,"A scrub is a guy that thinks he's fly
And is also known as a busta
Always talkin' about what he wants
And just sits on his broke assSo no, I don't want your number
No, I don't want to give you mine and
No, I don't want to meet you nowhere
No, I don't want none of your time andNo, I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at meWell a scrub checkin' me
But his game is kinda weak
And I know that he cannot approach me
'Cause I'm looking like class, and he's looking like trash
Can't get wit' a deadbeat assSo no, I don't want your number
No, I don't want to give you mine and
No, I don't want to meet you nowhere
No, I don't want none of your timeNo, I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at meIf you don't have a car and you're walking
Oh yes son, I'm talking to you
If you live at home with your momma
Oh yes son, (I'm) I'm talking to you (baby)
If you have a shorty that you don't show love
Oh yes son, I'm talking to you
Wanna get me with no money
Oh no, I don't want no
No scrub, no scrub (no, no)
No scrub (no, no, no), no scrub (no, no)No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride (oh)
Trying to holla at me
I don't want no scrub (no)
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at meI don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at meI don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at meI don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side
Of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side"
Bitter Sweet Symphony,The Verve,Urban Hymns,1997,Alternative rock,"Cause it's a bittersweet symphony, that's life
Tryna make ends meet, you're a slave to money then you die
I'll take you down the only road I've ever been down
You know the one that takes you to the places where all the veins meet, yeahNo change, I can change
I can change, I can change
But I'm here in my mold
I am here in my mold
But I'm a million different people 
From one day to the next
I can't change my mold
No, no, no, no, no
(Have you ever been down?)Well, I've never prayed but tonight I'm on my knees, yeah
I need to hear some sounds that recognize the pain in me, yeah
I let the melody shine, let it cleanse my mind, I feel free now
But the airwaves are clean and there's nobody singin' to me nowNo change, I can change
I can change, I can change
But I'm here in my mold
I am here in my mold
And I'm a million different people
From one day to the next
I can't change my mold
No, no, no, no, no
(Have you ever been down?)
I can't change, oh, no
I can't change, oh'Cause it's a bittersweet symphony, that's life
Tryna make ends meet, tryna find somebody then you die
I'll take you down the only road I've ever been down
You know the one that takes you to the places where all the veins meet, yeahYou know I can change, I can change
I can change, I can change
But I'm here in my mold
I am here in my mold
And I'm a million different people
From one day to the next
I can't change my mold
No, no, no, no, noI can't change my mold
No, no, no, no, no,
I can't change my mold, no, no, no, no
It's just sex and violence, melody and silence
It's just sex and violence, melody and silence
I'll take you down the only road I've ever been down
I'll take you down the only road I've ever been down
Been down
Ever been down
Ever been down
Ever been down
Ever been down
Have you ever been down?
Have you ever been down?
Have you ever been down?"
Virtual Insanity,Jamiroquai,Travelling Without Moving,1996,Funk Acid Jazz,"Ooh, hey-hey, aw
What we're livin' in?
Let me tell yaAnd it's a wonder men can eat at all
When things are big that should be small
Who can tell what magic spells we'll be doin' for us?
And I'm givin' all my love to this world
Only to be told
I can't see, I can't breathe
No more will we beAnd nothin's gonna change the way we live
'Cause we can always take, but never give
And now that things are changing for the worse, see
Whoa, it's a crazy world we're livin' in
And I just can't see that half of us immersed in sin
Is all we have to give theseFutures made of virtual insanity, now
Always seem to be governed by this love we have
For useless twisting of our new technology
Oh, now there is no sound
For we all live undergroundAnd I'm thinkin' what a mess we're in
Hard to know where to begin
If I could slip the sickly ties that earthly man has made
And now every mother can choose the colour
Of her child, that's not nature's wayWell, that's what they said yesterday
There's nothin' left to do but pray
I think it's time I found a new religion
Whoa, it's so insane to synthesize another strain
There's something in these futures that we have to be toldFutures made of virtual insanity, now
Always seem to be governed by this love we have
For useless twisting of our new technology
Oh, now there is no sound
For we all live underground, whoaNow there is no sound
If we all live underground
And now it's virtual insanity
Forget your virtual reality
Oh, there's nothin' so bad
As a man-made man
Oh yeah, I know, yeah (take it to the dance floor)Ooh, I know I can't go onOoh, of this virtual insanity we're living in
Has got to change, yeah
Things will never be the same
And I can't go on while we're living in, oh
Oh, virtual insanityOh, this world has got to change
'Cause I just, I just can't keep going on
In this virtual, virtual insanity
That we're livin' in, that we're livin' in
And a virtual insanity is what it is
Yeah, oohFutures made of virtual insanity, now
Always seem to be governed by this love we have
For useless twisting of our new technology
Oh, now there is no sound
For we all live undergroundOh, futures made of, now, virtual insanity
Now we all, we seem to be governed by a love
For these useless twisting of our new technology
And now there is no sound, for we all live underground
Yes, we do, ohnow, this life that we live in
(Virtual insanity) it's all goin' wrong
Out of the window (livin' in), you know
(Virtual insanity) that there is nothing worse than
(Livin' in) a man-made man
(Virtual insanity) there is nothing worse than
(Livin' in) a foolish man (virtual insanity), hey!
Virtual insanity is what we're livin' in, yeah, yeah
Well, it's alright"
